Ticker,Price,Prev Close,Gap,Change,Change from Open,Relative Volume,Average Volume,Volume,Volatility (Week),Volatility (Month),Earnings Date
AAPL,305.93,305.26,0.24%,0.22%,-0.02%,0.5,56274.4,28229375,1.52%,2.12%,7/30/2026 4:30:00 PM
AMZN,262.65,265.13,-0.10%,-0.94%,-0.84%,0.55,49921.9,27251660,2.13%,2.47%,7/30/2026 4:30:00 PM
APD,308.97,305.52,0.13%,1.13%,1.00%,0.37,1288.79,474479,1.75%,2.15%,7/30/2026 8:30:00 AM
AVGO,392.99,417.82,-1.40%,-5.94%,-4.60%,1.15,25559.75,29513597,3.72%,3.79%,9/2/2026 4:30:00 PM
DELL,490.81,494.51,0.30%,-0.75%,-1.05%,0.46,8667.45,3992869,4.94%,7.09%,9/3/2026 4:30:00 PM
GLD,401.48,398.96,0.81%,0.63%,-0.17%,0.9,7489.47,6749872,1.12%,1.12%,
GOOG,343.54,343.94,0.09%,-0.12%,-0.21%,0.49,22324.32,10946825,1.86%,2.67%,7/22/2026 4:30:00 PM
HLIO,81.49,81.14,-0.91%,0.43%,1.36%,0.83,363.64,302346,4.37%,3.57%,8/10/2026 4:30:00 PM
IREN,44.06,44.76,-1.50%,-1.56%,-0.07%,0.91,46036.22,42034051,7.03%,9.79%,8/27/2026 4:30:00 PM
MCD,272.83,272.25,0.03%,0.21%,0.18%,0.6,4590.68,2735406,1.92%,1.98%,8/4/2026 8:30:00 AM
MMM,182.65,182.65,-0.39%,0.00%,0.39%,0.71,3722.22,2644835,1.68%,2.30%,7/21/2026 8:30:00 AM
MSFT,495.4,496.88,-0.11%,-0.30%,-0.19%,0.4,40732.19,16217647,1.68%,2.69%,7/29/2026 4:30:00 PM
NBIS,277.68,255.04,1.20%,8.88%,7.59%,1.39,20858.74,29024669,10.32%,11.93%,8/12/2026 8:30:00 AM
NLR,118.1,118.52,0.12%,-0.35%,-0.47%,0.44,462.08,203260,2.00%,2.89%,
NVDA,225.16,225.3,0.65%,-0.06%,-0.71%,0.51,148197.83,75680870,2.26%,3.19%,8/26/2026 4:30:00 PM
ONTO,331.71,337.82,-0.18%,-1.81%,-1.63%,0.8,1341.75,1075002,5.94%,7.15%,8/6/2026 4:30:00 PM
Q,142.3,142.59,-0.03%,-0.20%,-0.18%,0.4,1971.24,783375,3.44%,4.47%,8/4/2026 8:30:00 AM
SNPS,421.5,411.75,0.57%,2.37%,1.78%,0.63,1978.04,1243042,2.76%,3.51%,8/26/2026 4:30:00 PM
SPCX,140.0,141.29,1.14%,-0.91%,-2.03%,0.77,125751.25,96727761,7.19%,7.95%,8/4/2026 4:30:00 PM
SPY,776.34,777.88,0.08%,-0.20%,-0.28%,0.6,52367.03,31368843,0.55%,0.92%,
