Ticker,Price,range_vol_ann,avg_volume,earnings_date
AAPL,305.93,0.3365395667674159,56274.4,2026-07-30
AMZN,262.65,0.3921003442997724,49921.9,2026-07-30
APD,308.97,0.34130191912733215,1288.79,2026-07-30
AVGO,392.99,0.601643848136088,25559.75,2026-09-02
DELL,490.81,1.125502607726877,8667.45,2026-09-03
GLD,401.48,0.1777944881035405,7489.47,
GOOG,343.54,0.4238493600325474,22324.32,2026-07-22
HLIO,81.49,0.5667199308300352,363.64,2026-08-10
IREN,44.06,1.5541143201193404,46036.22,2026-08-27
MCD,272.83,0.31431525575447333,4590.68,2026-08-04
MMM,182.65,0.3651136809269135,3722.22,2026-07-21
MSFT,495.4,0.42702426160582496,40732.19,2026-07-29
NBIS,277.68,1.893828788460034,20858.74,2026-08-12
NLR,118.1,0.45877327733860007,462.08,
NVDA,225.16,0.5063968009377626,148197.83,2026-08-26
ONTO,331.71,1.1350273124467096,1341.75,2026-08-06
Q,142.3,0.7095905016275231,1971.24,2026-08-04
SNPS,421.5,0.5571952261102028,1978.04,2026-08-26
SPCX,140.0,1.2620233753778098,125751.25,2026-08-04
SPY,776.34,0.1460454723707654,52367.03,
